id,acl_object_identity,ace_order,sid,mask,granting,audit_success,audit_failure
100000005001,100000001100,0,100000003000,1,true,false,false
100000005002,100000001100,1,100000003000,2,true,false,false
100000005003,100000001100,2,100000003000,16,true,false,false
100000005004,100000001100,3,100000003060,1,true,false,false
100000005005,100000001101,0,100000003000,1,true,false,false
100000005006,100000001101,1,100000003000,2,true,false,false
100000005007,100000001101,2,100000003000,16,true,false,false
100000005008,100000001101,3,100000003070,1,true,false,false
100000005009,100000001101,4,100000003070,16,true,false,false
100000005010,100000001200,0,100000003005,1,true,false,false
100000005011,100000001200,1,100000003005,2,true,false,false
100000005012,100000001200,2,100000003005,16,true,false,false
100000005013,100000001200,3,100000003020,1,true,false,false
100000005014,100000001201,0,100000003005,1,true,false,false
100000005015,100000001201,1,100000003005,2,true,false,false
100000005016,100000001201,2,100000003005,1,true,false,false
100000005017,100000001201,3,100000003030,1,true,false,false
100000005018,100000001201,4,100000003030,16,true,false,false
100000005019,100000001202,0,100000003005,1,true,false,false
100000005020,100000001202,1,100000003005,2,true,false,false
100000005021,100000001202,2,100000003005,16,true,false,false
100000005022,100000001202,3,100000003040,1,true,false,false
100000005023,100000001202,4,100000003040,16,true,false,false